,count-Row ID,mean-Row ID,mean-Postal Code,mean-Sales,mean-Quantity,mean-Discount,mean-Profit,mean-ReturnedBin,mean-EncodedCountry,mean-x0_Furniture,mean-x0_Office Supplies,mean-x0_Technology,mean-x0_Accessories,mean-x0_Appliances,mean-x0_Art,mean-x0_Binders,mean-x0_Bookcases,mean-x0_Chairs,mean-x0_Copiers,mean-x0_Envelopes,mean-x0_Fasteners,mean-x0_Furnishings,mean-x0_Labels,mean-x0_Machines,mean-x0_Paper,mean-x0_Phones,mean-x0_Storage,mean-x0_Supplies,mean-x0_Tables,mean-x0_Consumer,mean-x0_Corporate,mean-x0_Home Office,mean-x0_First Class,mean-x0_Same Day,mean-x0_Second Class,mean-x0_Standard Class,std-Row ID,std-Postal Code,std-Sales,std-Quantity,std-Discount,std-Profit,std-ReturnedBin,std-EncodedCountry,std-x0_Furniture,std-x0_Office Supplies,std-x0_Technology,std-x0_Accessories,std-x0_Appliances,std-x0_Art,std-x0_Binders,std-x0_Chairs,std-x0_Envelopes,std-x0_Fasteners,std-x0_Furnishings,std-x0_Labels,std-x0_Paper,std-x0_Phones,std-x0_Storage,std-x0_Tables,std-x0_Consumer,std-x0_Corporate,std-x0_Home Office,std-x0_First Class,std-x0_Same Day,std-x0_Second Class,std-x0_Standard Class,min-Row ID,min-Postal Code,min-Sales,min-Quantity,min-Discount,min-Profit,min-ReturnedBin,min-EncodedCountry,min-x0_Furniture,min-x0_Office Supplies,min-x0_Technology,min-x0_Accessories,min-x0_Appliances,min-x0_Art,min-x0_Binders,min-x0_Bookcases,min-x0_Chairs,min-x0_Copiers,min-x0_Envelopes,min-x0_Fasteners,min-x0_Furnishings,min-x0_Labels,min-x0_Machines,min-x0_Paper,min-x0_Storage,min-x0_Supplies,min-x0_Tables,min-x0_First Class,min-x0_Same Day,min-x0_Second Class,min-x0_Standard Class,25%-Row ID,25%-Postal Code,25%-Sales,25%-Quantity,25%-Discount,25%-Profit,25%-ReturnedBin,25%-EncodedCountry,25%-x0_Furniture,25%-x0_Office Supplies,25%-x0_Technology,25%-x0_Accessories,25%-x0_Appliances,25%-x0_Binders,25%-x0_Bookcases,25%-x0_Chairs,25%-x0_Copiers,25%-x0_Envelopes,25%-x0_Fasteners,25%-x0_Furnishings,25%-x0_Labels,25%-x0_Machines,25%-x0_Paper,25%-x0_Storage,25%-x0_Supplies,25%-x0_First Class,25%-x0_Same Day,25%-x0_Second Class,25%-x0_Standard Class,50%-Row ID,50%-Postal Code,50%-Sales,50%-Quantity,50%-Discount,50%-Profit,50%-ReturnedBin,50%-EncodedCountry,50%-x0_Furniture,50%-x0_Office Supplies,50%-x0_Technology,50%-x0_Appliances,50%-x0_Art,50%-x0_Binders,50%-x0_Bookcases,50%-x0_Copiers,50%-x0_Envelopes,50%-x0_Fasteners,50%-x0_Furnishings,50%-x0_Labels,50%-x0_Machines,50%-x0_Paper,50%-x0_Phones,50%-x0_Storage,50%-x0_Supplies,50%-x0_Tables,50%-x0_First Class,50%-x0_Same Day,50%-x0_Second Class,50%-x0_Standard Class,75%-Row ID,75%-Postal Code,75%-Sales,75%-Quantity,75%-Discount,75%-Profit,75%-ReturnedBin,75%-EncodedCountry,75%-x0_Furniture,75%-x0_Office Supplies,75%-x0_Technology,75%-x0_Accessories,75%-x0_Appliances,75%-x0_Art,75%-x0_Binders,75%-x0_Bookcases,75%-x0_Chairs,75%-x0_Copiers,75%-x0_Envelopes,75%-x0_Fasteners,75%-x0_Furnishings,75%-x0_Labels,75%-x0_Machines,75%-x0_Paper,75%-x0_Phones,75%-x0_Storage,75%-x0_Supplies,75%-x0_Tables,75%-x0_First Class,75%-x0_Same Day,75%-x0_Second Class,75%-x0_Standard Class,max-Row ID,max-Postal Code,max-Quantity,max-Discount,max-Profit,max-EncodedCountry,max-x0_Furniture,max-x0_Office Supplies,max-x0_Technology,max-x0_Accessories,max-x0_Appliances,max-x0_Art,max-x0_Binders,max-x0_Chairs,max-x0_Furnishings,max-x0_Paper,max-x0_Phones,max-x0_Storage,max-x0_First Class,max-x0_Second Class,max-x0_Standard Class
Dave Kipp,13,6630,37626.53846,203.889,2.538461538,0.138461538,41.26103846,0,1,0.230769231,0.538461538,0.230769231,0.076923077,0,0.153846154,0.076923077,0,0,0.076923077,0,0,0.076923077,0,0,0.230769231,0.076923077,0.076923077,0,0.153846154,1,0,0,0.307692308,0,0,0.692307692,3129.924866,26029.77276,332.6218647,1.506396618,0.202231145,95.22630199,0,0,0.43852901,0.518874522,0.43852901,0.277350098,0,0.375533808,0.277350098,0,0,0,0.277350098,0,0.43852901,0.277350098,0.277350098,0.375533808,0,0,0,0.480384461,0,0,0.480384461,118,11561,4.086,1,0,-47.1798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750,20735,10.56,2,0,2.0748,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7813,32839,47.904,2,0,4.1988,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8822,32839,104.85,3,0.2,36.7255,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9318,98103,6,0.7,311.9948,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
Dave Poirier,14,6792.571429,61164.28571,158.2144286,4.5,0.114285714,40.22686429,0,1,0.071428571,0.785714286,0.142857143,0.071428571,0,0.214285714,0.357142857,0,0.071428571,0.071428571,0,0.071428571,0,0,0,0.071428571,0,0.071428571,0,0,0,1,0,0.071428571,0,0.142857143,0.785714286,3310.887209,38915.2242,267.6232002,2.980707195,0.102710518,84.52763621,0,0,0.267261242,0.425815314,0.36313652,0.267261242,0,0.425815314,0.497245158,0.267261242,0,0.267261242,0,0,0.267261242,0,0.267261242,0,0,0,0,0.267261242,0,0.36313652,0.425815314,851,10035,5.16,2,0,-20.7846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6721.25,13446,17.883,2.25,0,4.55895,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8569.5,86837,35.72,3.5,0.2,8.2288,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9227.25,92936.75,176.0515,5.75,0.2,28.282725,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9405,98115,13,0.2,314.8418,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
David Bremer,14,3711.785714,55500.57143,212.3638571,4.214285714,0.142857143,-101.5549429,0,1,0.142857143,0.714285714,0.142857143,0.142857143,0,0.071428571,0.071428571,0,0,0,0.071428571,0,0.071428571,0.071428571,0,0.285714286,0,0.071428571,0.071428571,0.071428571,0,1,0,0.214285714,0,0.071428571,0.714285714,3099.500585,33503.9017,431.4179867,2.293085641,0.227745761,325.9781388,0,0,0.36313652,0.468807231,0.36313652,0.36313652,0,0.267261242,0.267261242,0,0.267261242,0,0.267261242,0.267261242,0.468807231,0,0.267261242,0.267261242,0,0,0,0.425815314,0,0.267261242,0.468807231,237,14609,8.96,2,0,-1141.47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033.75,33614,18.393,2.25,0,4.4565,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2866,43302,36.408,3,0,6.4638,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6736,93866.75,131.955,5.75,0.2,10.6827,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,1,8641,95051,9,0.8,63.7392,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
David Flashing,6,6554.5,63752,398.4223333,3.833333333,0.283333333,-43.21828333,0,1,0.166666667,0.666666667,0.166666667,0,0,0,0.333333333,0,0,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0.166666667,1,0,0,0,0,0.166666667,0.833333333,3049.833094,31020.59305,559.936249,1.471960144,0.312516666,249.1826758,0,0,0.40824829,0.516397779,0.40824829,0,0,0,0.516397779,0,0,0,0,0.40824829,0.40824829,0.40824829,0,0.40824829,0,0,0,0,0,0.40824829,0.40824829,2724,10009,1.728,2,0,-538.446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3818.75,61107,34.7495,3,0.05,-0.310925,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8012.5,61107,154.144,3.5,0.2,18.93855,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8925.75,86220,522.735,4.75,0.425,82.727,0,1,0,1,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8927,94591,6,0.8,143.9968,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1
David Kendrick,5,3978.6,31013.8,159.5664,4,0.12,49.98894,0,1,0,0.8,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,1,0,0,0,0.4,0.6,3466.262295,28762.00694,174.9407083,2,0.109544512,56.52756546,0,0,0,0.447213595,0.447213595,0.447213595,0,0,0.447213595,0,0,0,0,0,0.547722558,0,0.447213595,0,0,0,0,0,0,0.547722558,0.547722558,181,10009,24.816,2,0,1.8612,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,10009,34.02,3,0,16.6698,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6509,10009,50.352,3,0.2,17.6232,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6510,62521,279.9,5,0.2,76.6395,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6511,62521,7,0.2,137.151,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1
David Philippe,4,2240,22678.75,264.654,5,0.15,-10.2344,0,1,0.25,0.5,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75,0,0,0.25,3062.000109,25287.5,415.4455535,2.160246899,0.1,70.2962396,0,0,0.5,0.577350269,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,708,10035,8.016,3,0,-110.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.75,10035,37.044,3.75,0.15,-26.871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,709.5,10035,83.34,4.5,0.2,8.385,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2240.75,22678.75,310.95,5.75,0.2,25.0216,0,1,0.25,1,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,6833,60610,8,0.2,52.7824,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1
David Smith,20,5505.15,51786.95,144.09064,3.4,0.1535,8.184965,0.1,1,0.35,0.5,0.15,0.1,0,0.05,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0.05,0.05,0.2,0,0.05,0,1,0,0.1,0,0.05,0.85,3120.451456,30379.89054,188.4838148,2.542274158,0.182620544,40.54200127,0.307793506,0,0.489360485,0.512989176,0.366347549,0.307793506,0,0.223606798,0.307793506,0.307793506,0,0.307793506,0.307793506,0,0.223606798,0.223606798,0.410391341,0.223606798,0,0,0,0.307793506,0,0.223606798,0.366347549,226,14701,2.2,1,0,-73.7061,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3897.75,19140,19.068,2,0,-5.7207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7364.5,48227,60.45,2.5,0.175,2.966,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7941.25,78432.5,171.3182,4.25,0.2,12.36935,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8921,94122,10,0.7,136.939,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
David Wiener,9,4633.333333,81292.33333,120.0834444,4.333333333,0.244444444,-9.652644444,0,1,0.444444444,0.444444444,0.111111111,0,0.111111111,0.111111111,0.111111111,0,0.111111111,0,0,0,0.222222222,0,0,0.111111111,0.111111111,0,0,0.111111111,0,1,0,0,0,0.333333333,0.666666667,1512.922916,18214.64661,118.1283358,1.802775638,0.200693243,53.82490899,0,0,0.527046277,0.527046277,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0.440958552,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0.5,0.5,3239,37918,4.368,2,0,-120.513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3241,77095,27.18,3,0.2,-2.8272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4295,87105,69.456,4,0.2,6.4864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5365,90045,177.225,5,0.3,22.5732,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7004,97756,7,0.6,46.095,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
Dean Braden,21,3690.809524,38343.52381,111.0750952,3.571428571,0.185714286,8.093709524,0.142857143,1,0.19047619,0.571428571,0.238095238,0.142857143,0,0.095238095,0.142857143,0,0.142857143,0,0,0,0.047619048,0,0,0.142857143,0.095238095,0.142857143,0.047619048,0,1,0,0,0.095238095,0.047619048,0.19047619,0.666666667,2392.675837,25581.82915,190.0285776,2.270934358,0.217452786,32.08214183,0.358568583,0,0.402373908,0.507092553,0.43643578,0.358568583,0,0.300792604,0.358568583,0.358568583,0,0,0.21821789,0,0.358568583,0.300792604,0.358568583,0,0,0,0,0.300792604,0.21821789,0.402373908,0.483045892,520,7501,2.694,1,0,-63.3765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,19134,18.392,2,0,-2.245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3651,28601,67.64,3,0.2,5.9185,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5281,48234,119.976,5,0.2,15.5112,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7594,94109,9,0.8,79.8912,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Dean Katz,19,2923.210526,51655.52632,252.7575789,3.684210526,0.194736842,11.04733684,0,1,0.157894737,0.736842105,0.105263158,0,0.105263158,0.052631579,0.105263158,0,0.052631579,0,0.052631579,0.052631579,0.052631579,0,0.052631579,0.157894737,0.052631579,0.157894737,0.052631579,0.052631579,0,1,0,0,0,0.473684211,0.526315789,2497.775579,36517.4314,367.916292,2.381704142,0.236816113,122.5954749,0,0,0.374634325,0.452413928,0.315301768,0,0.315301768,0.229415734,0.315301768,0.229415734,0.229415734,0.229415734,0.229415734,0,0.374634325,0.229415734,0.374634325,0.229415734,0,0,0,0,0,0.512989176,0.512989176,387,10011,2.96,1,0,-337.638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,19140,9.64,2,0,-0.4835,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144,60653,30.48,3,0.2,4.752,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5940.5,92725,397.758,5,0.2,15.3082,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8049,94109,9,0.8,310.9872,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Dean percer,29,4578.793103,35038.58621,248.2331379,3.413793103,0.186206897,11.49533793,0,1,0.24137931,0.586206897,0.172413793,0.103448276,0,0.034482759,0.172413793,0,0,0,0.034482759,0.034482759,0.137931034,0.034482759,0.034482759,0.137931034,0.034482759,0.137931034,0,0.103448276,0,0,1,0.448275862,0,0,0.551724138,1391.600116,28036.8076,588.1165632,2.009215223,0.24745005,285.0051035,0,0,0.43549417,0.501230014,0.384425872,0.309934047,0,0.185695338,0.384425872,0,0.185695338,0.185695338,0.350931203,0.185695338,0.350931203,0.185695338,0.350931203,0.309934047,0,0,0,0.506120179,0,0,0.506120179,2761,2151,4.66,1,0,-1002.7836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3387,10035,19.44,2,0,1.3284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007,28205,44.4,3,0,8.7906,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5322,37918,154.764,4,0.2,22.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7921,98115,11,0.7,1114.512,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
Deanra Eno,9,3373.555556,61626,283.4304444,4.222222222,0.111111111,51.60793333,0.666666667,1,0.222222222,0.666666667,0.111111111,0,0,0.111111111,0.111111111,0,0.111111111,0,0,0,0.111111111,0,0,0.333333333,0.111111111,0.111111111,0,0,0,0,1,0,0,0.666666667,0.333333333,1999.250054,21471.52093,520.3199414,2.905932629,0.145296631,128.9478012,0.5,0,0.440958552,0.5,0.333333333,0,0,0.333333333,0.333333333,0.333333333,0,0,0.333333333,0,0.5,0.333333333,0.333333333,0,0,0,0,0,0,0.5,0.5,1026,44107,3.912,1,0,-9.8724,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,45503,15.552,2,0,5.4432,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3427,52001,20.04,3,0,8.8176,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4720,90004,63.312,6,0.2,20.5764,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6684,90008,10,0.4,394.268,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
Deborah Brumfield,13,5293.153846,56696.46154,358.1459231,4,0.207692308,64.75587692,0.153846154,1,0.230769231,0.538461538,0.230769231,0.076923077,0,0.153846154,0.230769231,0,0.076923077,0,0,0,0.076923077,0,0,0.076923077,0.153846154,0.076923077,0,0.076923077,0,0,1,0.076923077,0,0.307692308,0.615384615,3043.340403,41261.00635,579.1271702,1.58113883,0.28419928,165.8239738,0.375533808,0,0.43852901,0.518874522,0.43852901,0.277350098,0,0.375533808,0.43852901,0.277350098,0,0,0.277350098,0,0.277350098,0.375533808,0.277350098,0.277350098,0,0,0,0.277350098,0,0.480384461,0.506369684,1544,2908,3.882,1,0,-84.9615,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,10009,34.24,3,0,2.7984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6185,75081,72.42,4,0.2,16.0928,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6470,92024,457.485,5,0.2,29.0136,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9717,97206,7,0.8,582.232,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Debra Catini,7,3857.571429,46441,167.8025714,5.285714286,0.078571429,18.86688571,0,1,0.285714286,0.428571429,0.285714286,0.285714286,0,0.142857143,0,0.142857143,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0,0,1,0,0,0,0.285714286,0,0.714285714,3427.444717,24285.33061,155.0939489,2.690370837,0.09940298,40.81388893,0,0,0.487950036,0.534522484,0.487950036,0.487950036,0,0.377964473,0,0,0,0,0.377964473,0,0,0,0.487950036,0,0,0,0,0,0.487950036,0,0.487950036,757,23223,24.56,2,0,-33.8418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236.5,32202.5,62.12,3,0,-3.8008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2341,33317,119.8,6,0,10.465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6437.5,55016,229.037,7,0.175,36.7289,0,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,8557,94110,9,0.2,89.5888,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
Deirdre Greer,8,4249.625,32855.75,399.47725,4.875,0.1,70.3470125,0,1,0.375,0.5,0.125,0,0.125,0,0,0,0.125,0,0.125,0,0.25,0,0,0.25,0.125,0,0,0,0,1,0,0.375,0.125,0,0.5,3614.697061,35402.00022,665.8442236,3.796144661,0.106904497,174.1104407,0,0,0.51754917,0.534522484,0.353553391,0,0.353553391,0,0,0.353553391,0.353553391,0,0.46291005,0,0.46291005,0.353553391,0,0,0,0,0,0.51754917,0.353553391,0,0.534522484,1051,7050,6.72,2,0,-29.4812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052.75,10035,61.95,2,0,-5.4522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661.5,19134,124.212,2.5,0.1,15.703,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7899.25,34405.25,357.75,8.25,0.2,41.1309,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1,0,0,1,9393,98105,11,0.2,494.9725,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1
Delfina Latchford,17,3366.647059,29036.47059,85.77988235,4.352941176,0.182352941,16.99254118,0,1,0.117647059,0.823529412,0.058823529,0,0.058823529,0.117647059,0.117647059,0,0,0,0.058823529,0,0.117647059,0.058823529,0,0.235294118,0.058823529,0.176470588,0,0,1,0,0,0.117647059,0,0.764705882,0.117647059,3215.814301,23337.23199,96.42775999,3.161114844,0.245548605,40.99044506,0,0,0.332105582,0.392952624,0.242535625,0,0.242535625,0.332105582,0.332105582,0,0.242535625,0,0.332105582,0.242535625,0.437237316,0.242535625,0.392952624,0,0,0,0,0.332105582,0,0.437237316,0.332105582,253,10024,8.952,2,0,-31.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,10035,30.072,2,0,4.1148,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1170,19134,48.87,3,0.2,8.8088,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5808,37918,109.48,6,0.2,22.5624,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9516,91730,14,0.8,162.864,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
Denise Leinenbach,8,5323.625,42371,73.1275,4,0.05,27.83515,0,1,0.125,0.625,0.25,0.125,0.125,0.375,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0.125,0,1,0,0,0.25,0,0.625,0.125,1557.666748,22678.94151,131.9725127,2.563479778,0.09258201,56.08328039,0,0,0.353553391,0.51754917,0.46291005,0.353553391,0.353553391,0.51754917,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0.46291005,0,0.51754917,0.353553391,2803,10009,3.104,1,0,0.3492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4064.75,28027,12.045,2.75,0,4.12335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5813,46226,19.883,3,0,5.1757,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6676.25,46226,52.0025,5.25,0.05,18.6948,0,1,0,1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,0,6678,88001,9,0.2,165.2868,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
Denise Monton,13,5197.923077,49289.38462,313.4209231,3.153846154,0.1,101.4660462,0,1,0.230769231,0.615384615,0.153846154,0.076923077,0,0.076923077,0.307692308,0,0.076923077,0,0,0,0.076923077,0,0,0.153846154,0.076923077,0.076923077,0,0.076923077,0,1,0,0,0,0.307692308,0.692307692,2278.805442,33865.79577,725.9570946,1.724632997,0.129099445,356.7765303,0,0,0.43852901,0.506369684,0.375533808,0.277350098,0,0.277350098,0.480384461,0.277350098,0,0,0.277350098,0,0.375533808,0.277350098,0.277350098,0.277350098,0,0,0,0,0,0.480384461,0.480384461,2848,7050,5.76,1,0,-213.5574,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,28806,40.46,2,0,2.8392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5408,43055,87.92,3,0,15.7584,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5411,94109,127.764,3,0.2,33.93,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9604,94109,7,0.4,1264.7559,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
Dennis Bolton,6,7149,40690.16667,180.2443333,4.666666667,0.083333333,48.50141667,0,1,0.166666667,0.666666667,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0.333333333,0,0.166666667,0,0,0,0,1,0,0,0.166666667,0.833333333,1675.708089,39577.9947,153.6520383,2.943920289,0.098319208,27.21454811,0,0,0.40824829,0.516397779,0.40824829,0.40824829,0,0,0.40824829,0.40824829,0,0,0,0,0.516397779,0,0.40824829,0,0,0,0,0,0,0.40824829,0.40824829,4648,6708,43.056,1,0,15.6078,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6379.25,7533.25,63.3855,3,0,24.89445,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7124,27058,133.215,4,0.05,52.389,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8174,74106.25,256.2225,6.5,0.175,69.348675,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,1,9343,92503,9,0.2,79.8912,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1
