Customer Name (E&P),Sales (C),Quantity (C),Discount (C),Profit (C)
Keith Herrera,55.98,1,0,27.4302
Keith Herrera,1336.829,13,0.15,31.4548
Keith Herrera,113.568,2,0.2,-18.4548
Kimberly Carter,139.86,7,0,65.7342
Kimberly Carter,307.136,4,0.2,26.8744
Caroline Jumper,95.92,8,0,25.8984
Philip Brown,383.8,5,0.2,38.38
Victoria Brennan,5.78,1,0,2.8322
Sung Pak,9.32,4,0,2.7028
Sung Pak,15.25,1,0,7.015
Joel Eaton,196.752,6,0.2,56.5662
Michael Paige,56.56,4,0,14.7056
Michael Paige,32.7,3,0,8.502
Natalie Fritzler,866.4,4,0,225.264
Janet Molinari,28.4,2,0,11.076
Janet Molinari,287.92,8,0,138.2016
Shirley Daniels,69.99,1,0,30.0957
Ken Heidel,6.672,6,0.2,0.5004
Ross Baird,189.588,2,0.7,-145.3508
Ross Baird,408.744,7,0.2,76.6395
Ross Baird,291.96,5,0.2,54.7425
Ross Baird,4.768,2,0.2,-0.7748
Dave Brooks,714.3,5,0,207.147
Mike Kennedy,4.812,2,0.7,-3.6892
Mike Kennedy,247.8,5,0.2,-18.585
Philisse Overcash,1007.979,3,0.3,43.1991
Philisse Overcash,313.488,7,0.2,113.6394
Brenda Bowman,31.872,8,0.2,11.5536
Cynthia Voltz,207.846,3,0.1,2.3094
Pete Kriz,12.22,1,0,3.666
Pete Kriz,194.94,3,0,23.3928
Pete Kriz,70.95,3,0,20.5755
Pete Kriz,91.36,4,0,42.0256
Pete Kriz,242.94,3,0,29.1528
Pete Kriz,22.05,7,0,10.584
Troy Blackwell,2.91,1,0,1.3677
Raymond Buch,59.52,3,0,15.4752
Raymond Buch,161.94,3,0,9.7164
Raymond Buch,263.88,6,0,71.2476
Raymond Buch,30.48,3,0,7.9248
Raymond Buch,9.84,3,0,2.8536
Raymond Buch,35.12,4,0,9.1312
Ed Braxton,284.364,2,0.4,-75.8304
Ed Braxton,665.408,2,0.2,66.5408
Ken Heidel,63.88,4,0,24.9132
Sanjit Chand,129.568,2,0.2,-24.294
Natalie Fritzler,747.558,3,0.3,-96.1146
Natalie Fritzler,8.928,2,0.2,3.348
Joseph Holt,103.92,4,0,36.372
Joseph Holt,899.91,9,0,377.9622
Joseph Holt,51.312,3,0.2,18.6006
Tanja Norvell,23.56,5,0.2,7.068
Tanja Norvell,1272.63,6,0.5,-814.4832
Tanja Norvell,28.485,5,0.7,-20.889
Tanja Norvell,185.376,2,0.2,-34.758
Tanja Norvell,78.272,2,0.2,5.8704
Joni Sundaresam,254.744,7,0.6,-312.0614
David Smith,205.3328,2,0.32,-36.2352
Craig Carreira,4.788,3,0.8,-7.9002
Maya Herman,55.48,1,0,26.6304
Jeremy Pistek,340.92,3,0,3.4092
Jeremy Pistek,222.666,2,0.15,10.4784
Jeremy Pistek,703.968,4,0.2,87.996
Jeremy Pistek,92.52,6,0,24.9804
Jeremy Pistek,62.65,7,0,28.819
Jeremy Pistek,94.85,5,0,45.528
Kristen Hastings,95.76,6,0.2,7.182
Jeremy Ellison,40.2,3,0,19.296
John Grady,14.7,5,0,6.615
John Grady,704.25,5,0,84.51
Xylona Preis,9.09,3,0,1.9089
Erin Mull,5.96,2,0,1.6688
Erin Mull,159.98,2,0,57.5928
Michelle Tran,29.6,2,0,14.8
Michelle Tran,514.165,5,0.15,-30.245
Michelle Tran,279.96,5,0.2,17.4975
Sue Ann Reed,2735.952,6,0.2,341.994
Carl Weiss,7.992,1,0.2,0.5994
Carl Weiss,63.984,2,0.2,10.3974
Carl Weiss,70.368,2,0.2,6.1572
Astrea Jones,449.15,5,0,8.983
Astrea Jones,11.07,3,0,5.0922
Sonia Sunley,93.98,2,0,13.1572
Rose O'Brian,189.882,3,0.4,-94.941
Maribeth Dona,105.42,2,0,51.6558
Sanjit Chand,119.616,8,0.2,40.3704
Sanjit Chand,255.76,4,0,81.8432
Sanjit Chand,241.568,2,0.2,18.1176
Sanjit Chand,69.3,9,0,22.869
Maribeth Yedwab,22.62,2,0.7,-15.08
Maribeth Yedwab,14.952,2,0.7,-11.9616
Maribeth Yedwab,801.568,2,0.2,50.098
Maribeth Yedwab,2.376,3,0.7,-1.9008
Maribeth Yedwab,32.792,1,0.2,11.8871
Ed Braxton,15.92,5,0.2,5.373
Christopher Martinez,2.74,1,0,0.7398
Christopher Martinez,8.34,3,0,2.1684
Christopher Martinez,46.74,3,0,11.685
Christopher Martinez,6354.95,5,0,3177.475
Lynn Smith,126.3,3,0,40.416
Lynn Smith,38.04,2,0,12.1728
Luke Foster,7.152,3,0.2,0.7152
Bradley Nguyen,6.63,3,0,1.7901
Bradley Nguyen,5.88,2,0,1.7052
Alan Dominguez,2999.95,5,0,1379.977
Alan Dominguez,51.45,3,0,13.8915
Alan Dominguez,11.96,2,0,5.382
Alan Dominguez,1126.02,3,0,56.301
Dean Braden,18.392,1,0.2,5.2877
Dean Braden,129.568,2,0.2,-25.9136
Dean Braden,14.112,9,0.8,-21.168
Matt Connell,210.98,2,0,21.098
Logan Haushalter,55.176,3,0.2,-12.4146
Logan Haushalter,66.26,2,0,27.1666
Brian Dahlen,22.2,5,0,10.434
Patricia Hirasaki,683.952,3,0.2,42.747
Patricia Hirasaki,45.696,3,0.2,5.1408
Mike Gockenbach,36.336,3,0.2,-7.2672
Mike Gockenbach,666.248,1,0.2,-149.9058
Mike Gockenbach,52.512,6,0.2,19.692
Karen Bern,190.72,1,0.2,11.92
Jasper Cacioppo,47.94,3,0,2.397
Rob Lucas,979.95,5,0,274.386
Rob Lucas,22.75,5,0,11.375
Allen Armold,16.768,2,0.2,1.4672
Emily Phan,42.616,7,0.8,-68.1856
Mark Packer,10.752,4,0.2,3.36
Darren Koutras,152.94,3,0,41.2938
Darren Koutras,283.92,4,0,70.98
Bradley Drucker,468.9,6,0,206.316
Erin Smith,380.864,8,0.2,38.0864
Liz MacKendrick,646.776,9,0.2,-145.5246
Paul Gonzalez,58.112,2,0.2,7.264
Paul Gonzalez,100.792,1,0.2,6.2995
Paul Gonzalez,66.112,4,0.6,-84.2928
Adrian Shami,41.28,6,0.2,13.932
Adrian Shami,13.36,2,0,6.4128
Dean Katz,250.272,9,0.2,15.642
Dean Katz,11.364,3,0.8,-17.046
Dean Katz,8.72,5,0.2,-1.744
Bill Donatelli,1121.568,2,0.2,0
Ryan Crowe,34.504,1,0.2,6.0382
Greg Tran,10.824,3,0.2,2.5707
Dean Katz,1295.78,2,0,310.9872
Ashley Jarboe,19.456,4,0.2,3.4048
Olvera Toch,20.7,2,0,9.936
Olvera Toch,1335.68,4,0.2,-217.048
Olvera Toch,32.4,5,0,15.552
Liz Pelletier,42.6,3,0,16.614
Liz Pelletier,84.056,7,0.2,27.3182
Cynthia Arntzen,13,5,0.2,1.3
Cynthia Arntzen,13.128,3,0.2,3.7743
Jeremy Farry,3.96,2,0,0
Jeremy Farry,2.61,1,0,1.2006
Frank Preis,374.376,3,0.2,46.797
Ellis Ballard,91.84,8,0,45.0016
Ellis Ballard,81.088,7,0.2,27.3672
Ellis Ballard,19.44,3,0,9.3312
Ellis Ballard,451.152,3,0.2,0
Jennifer Ferguson,72.45,7,0,34.776
Jennifer Ferguson,13.96,4,0,6.4216
Jennifer Ferguson,33.264,7,0.2,11.2266
Jennifer Ferguson,14.85,3,0,4.0095
Sarah Foster,8.82,3,0,2.3814
Trudy Glocke,160.72,14,0,78.7528
Trudy Glocke,19.92,4,0,9.7608
Trudy Glocke,7.3,2,0,2.19
Carlos Soltero,69.712,2,0.2,8.714
Carlos Soltero,8.792,1,0.6,-5.7148
Charles Crestani,51.52,4,0,1.5456
Dianna Vittorini,470.376,3,0.2,52.9173
Dianna Vittorini,105.584,2,0.2,9.2386
Dianna Vittorini,31.152,3,0.2,3.5046
Dianna Vittorini,6.783,7,0.7,-4.7481
Dianna Vittorini,406.368,4,0.2,30.4776
Bruce Degenhardt,70.98,1,0,4.9686
Bruce Degenhardt,294.93,3,0,144.5157
Zuschuss Carroll,84.784,2,0.2,-20.1362
Zuschuss Carroll,20.736,4,0.2,7.2576
Zuschuss Carroll,16.821,3,0.7,-12.8961
Zuschuss Carroll,10.368,2,0.2,3.6288
Melanie Seite,9.344,2,0.2,1.168
Melanie Seite,31.2,3,0.2,9.75
Lena Radford,76.12,2,0,22.0748
Lena Radford,1199.976,3,0.2,434.9913
Lena Radford,445.96,5,0.2,55.745
Lena Radford,327.76,8,0,91.7728
Theone Pippenger,11.632,2,0.2,1.0178
Chloris Kastensmidt,143.982,3,0.4,-28.7964
Chloris Kastensmidt,494.376,4,0.4,-115.3544
Chloris Kastensmidt,5.84,2,0.2,0.73
Alan Shonely,142.776,1,0.2,17.847
Alan Shonely,45.696,3,0.2,5.1408
Alan Shonely,7.218,3,0.7,-5.5338
Alan Shonely,43.188,4,0.7,-31.6712
Alan Shonely,131.904,3,0.2,47.8152
Andrew Roberts,3.282,2,0.7,-2.6256
Andrew Roberts,21.168,9,0.2,2.3814
Andrew Roberts,55.188,2,0.4,-10.1178
Nona Balk,369.576,3,0.2,41.5773
